orig	translated
of there being any Holy One in this business right out of your mind . That is probably a nickname for their headquarters : very likely Don Manuel himself , who prides himself on his religion . No , sir ; you 've been warned ( as I see it ) because they think you may be a spy . Anyway without you here they could land stuff on this beach . They have warned several people off the track , up and down the coast , in the last eighteen months . They all had the sense to take the hint . All except one , I think ; one did not . He was a good while ago , before you came here . Prince , his name was , Jacob Galls Prince ; lived on the coast like you , up at San Agostino . ” “ What happened to him ? ” “ He neglected the warning , so then they took steps . The first time he had friends with him who drove them away , but the second time they gave him his pass all right . ” Hilary thought that Mr. Brown 's tone , when he spoke of the giving of the pass , was suddenly savage . He noticed that Mr. Brown 's mouth tightened as he spoke , as though a lid were being snapped down . “ Were the murderers caught ? ” “ No , sir , there 's a lot too much money behind these fellows . ” “ Are you in the United States Police , Mr. Brown ? ” “ No , sir , I 'm just plain Abner Brown , from Brownstead , Massachuzzits . I 'm a minister of Brownstead Light - Arising Church . I 'm in this rum - investigation business , because I hate rum like hell . Yes , Mr. Kingsborough , like hell . Maybe you 'll think that strong talk for a minister of a church that goes dead against any language that 's anyways got a kick . But I guess it 's not too strong . Mr. Kingsborough , I believe that if rum were wiped clean off of this planet this planet would just rise up three hundred per cent . ” “ Where would it rise to , Mr. Brown ? ” “ Rise to the Light , Mr. Kingsborough . ” “ What do you think it would do then , Mr. Brown ? ” “ It would enter into a new plane of being , Mr. Kingsborough , which lies just beyond anything we have going now . I guess the prophets saw it : a new world : gee , I guess it 's worth working to try to bring . All your dividends and worldly cares just dumped where they belong , and all your spiritual being three hundred per cent pure light . ” “ It sounds delightful	Mr. Brown , er sah es , er sah es , er sah es , er sah es , er sah es , er sah es , er sah es , er sah es , er sah es , er sah es .
"hour , it should be about four now . """""""" """""""" It ai n't but a quarter of four , """""""" sniffed Captain Jonas with an air of superiority . """""""" That timepiece of yours , Benjamin , ai n't worth the silver that was put into it . What 's the use of havin' a watch that keeps you figgerin ' backwards an ' forards , an ' doin' sums all day ? I would n't be bothered with it . """""""" Captain Benjamin bridled with indignation . """""""" I do n't see but my watch is good as yours , """""""" retorted he . """""""" The only difference is I 'm addin ' from mornin ' ' til night while you 're substractin ' . """""""" The discomfited Captain Baker frowned . """""""" Mine comes out even minutes , anyhow , """""""" announced he . """""""" If it does shoot ahead some , it do n't keep me reckonin ' in fractions like yours does . I 'd see myself in Davie Jones 's locker ' fore I 'd go addin ' three - quarter minutes together from sunrise to sunset . """""""" """""""" Oh , addin ' fractions is mighty good trainin ' for Benjamin , """""""" put in the peace - loving Captain Phineas , with a chuckle . """""""" It keeps his arithmetic brushed up . I 'll bet you he could beat you at a sum , Jonas . """""""" The triumphant Captain Benjamin observed a complacent silence . """""""" Let Benjamin an ' his watch alone , Jonas , """""""" drawled Zenas Henry , speaking for the first time . """""""" Somebody in the house has got to be up on mathematics , an ' it may as well be Benjamin as another . I 'm only sorry his ticker holds him just to addin ' ; if it would only make him multiply an ' divide some , an ' take him into square root ' twould give him a liberal all - round education . Still , there 's always hopes it may take a new turn . The last time it went overboard there was indications that ' twouldn't be long before ' twould be leadin ' him into algebra an ' the fourth dimension . """""""" Captain Benjamin grinned at the sally . """""""" It wo n't be goin' overboard no more now , Zenas Henry , """""""" responded he serenely , """""""" 'cause since the _ Sea Gull 's _ got that eel - grass - proof contrivance hitched to her , there wo n't be no call for me to be lyin ' head down'ards astern . I 'll be settin ' up like a Christian in future -- all of us will . My soul , but Bob Morton an ' Willie Spence did a good job on that boat ! It 's somethin' to have a young chap with brains like that marryin ' into"	""""""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""""" """""""""" """""""" """""""""" """""""""""" """""""""" """""""""" """""""""""""" """""""""" """""""""""" """""""""""" """""""""" """""""""""" """""""""" """""""""""" """""""""" """""""""""" """""""""" """""""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""""" """""""" """""""" """""""" """""""""" """""""" """""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""" """""""" """""""""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""" """""""""" """""""""""" """""""""""" """""""""" """""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""""""" """""""""""" """""""""" """""""""" """""""""""" """""""""" """""""""" """""""""" """""""""""" """""""""" """""""""""
poor thing . ' ” “ You had women guards , then ? ” “ Oh , yes , two . ” “ Surely there were some decent men among the smugglers who were willing to help you : for instance , a man called Douglas ? ” “ The only men whom I have met have been those who carried me away out of the house , and those who are here , the Indians and a terrible negro . ” “ But about this man in red , ” Sard said , “ I know him only as Father Garsinton ; he seems to be the head of the business ; but what is his aim ? ” “ He worships evil , ” she said . “ Yes , but what does he hope to gain by all this ? ” “ To increase the power of evil in the world . ” “ But he is not young , ” Sard objected . “ He is grown up ; he is even elderly . ” “ He is a devil , ” she said . “ I have heard of boys in cities thinking these thoughts , ” Sard said , “ but never grown men . And why does he single out you ? ” “ He has always wanted me , ” she said . “ He always said that he would have me . He told me years ago that to - night should be the night : now it is . And now he has killed my brother . ” He heard her weeping and saw tears running down her steady face . “ Oh , no , no , ” he said , “ do not weep ; do not cry like that . ” “ I can not help it , ” she said . “ I loved my brother . ” “ He loved you too , dearly . ” They were silent for some minutes , while Sard tried again to shift his bonds . When he spoke again he had good news . “ Miss Kingsborough , ” he said , “ I have to break this news to you . Your brother is not dead . He is alive . He has just crept into the room behind you . ” “ Do n't make any noise , ” Hilary said . “ For heaven 's sake do n't make any noise . I 've been knocked out . I 'm dizzy and sick . ” He came up between them and sat down upon the floor . “ Oh , Hilary , ” she said , “ you are covered with blood . ” “ Yes , I know , dear . O Lord , I do feel queer ! They have all gone upstairs , the people here . Cheer up , Pearl , my darling , we 'll soon have you out of	“ Oh , oh , oh , oh , oh , oh , oh , oh , oh , oh , oh , oh , oh , oh , oh , oh , oh , oh , oh , oh , oh , oh , oh , ” he said . “ Oh , ” he said . “ Oh , ” he said , “ Oh , ” he said , “ Oh , ” he said , “ Oh , ” he said , “ Oh , ” he said , “ Oh , ” he said , “ Oh , ” he said , “ Oh , ” he said , “ Oh , ” he said , “ Oh , ” he said , “ , ” he said , “ ” he said , “ ” he said , “ ” he said , “ ” he said , “ ” he said , “ ” he said , “ ” he said , “ ” he said , “ ” he said , “ ” he said , “ ” he said , “ ” ” he said , “ ” he said , “ ” he said , “ ” he said , “ ” he said , “ ” he said , “ ” he said , “ ” he said , “ ” he said , “ ” he said , “ ” he said , “ ” he said , “ ” ” he said , “ ” he said , “ ” and he , “ ” ” he said , “ ” and he , “ ” ” he said , “ ” and he , “ ” ” he said , “
she said , while her mother made some remark about poor little Matty 's childishness . Thomas Playle looked up from the lump of boiled fish he was eating . “ It shall be stopped , mistress , ” he said . “ Such flagrant crime is a disgrace to the glorious court of His Gracious Majesty . ” While Francis felt the bundle of letters in his pocket and grinned wickedly to himself . “ You have some men in your pay and arms for them , I suppose , Master Myddleton ? ” observed Playle a little later on in the evening . “ About five , ” said Francis , and then , noting the other 's surprise , he added : “ But some twenty more trustworthy men can be called out at a moment 's notice , if you find it necessary . ” Playle could hardly repress a smile of pleasure ; life seemed suddenly to have opened up to him . Twenty - five men at his orders , a gang of ferocious smugglers to attack , and a pretty girl to stand by and admire at the proper time . His smile broadened . His ambitions flew away with him and he sat staring at his plate , his brown eyes twinkling with pleasure , until Mistress Myddleton had to touch him on the shoulder and give him a candle , before he realized that Betsey , the little maid , waited to show him his room . Once in their room Mistress Eliza and her husband argued over the situation until both were exhausted . “ He 's a handsome man , anyway , ” said the lady at last , as she brushed her little wisp of gray - yellow hair before the oval mirror . “ I wonder if Matilda---- ? ” Francis , who was already tucked in his side of the huge four - poster bed , growled through the curtains , and Mistress Eliza bit her lip . “ He 'll make a difference to the price of tea hereabouts , I 'll warrant , ” she said , after a minute 's silence , as she blew out the candles and opened the casement . Francis grunted . “ Methinks he 'll be a deal of nuisance to the trade , ” he said bitterly . “ No more cheap tabac -- God help us . ” Mistress Eliza echoed his sigh , and they settled themselves to sleep . CHAPTER XV “ There , look , there now , will that be the _ Coldlight_--_Anny _ , I mean ? ” Anny paused in her walk and stared out across the bay . Hal followed the direction of her hand and then shook his head . “ Nay , ” he said , “ ‘ tis too small . ” Anny sighed and moved on , but the boy still stared out at the	” he paused , he paused , he paused , he paused , he paused , he paused , he paused , he paused , he paused , he paused , he paused , he paused , he paused , he paused , he paused , he paused , he said , “ ” he said , “ ” he said , “ ” he said , “ ” he said , “ ” he said , “ , ” he said , “ , ” he said , “ , ” he said , “ , ” he said , “ , ” he said , “ , ” he said , “ , ” he said , “ , ” he said , “ , ” he shook his arms , “ ” and he shook his head , “ ” he said , “ ” and he shook his head , “ ” and he shook his head , “ ” he said , “ ” he said , “ ” he said , “ ” and he shook his hands , “ ” he said , “ ” he said , “ ” he said , “ ” he said , “ ” he , “ ” he said , “ ” he , “ ” he said , “ ” he , “ ” he , “ ” ” he , “ ” he , “ ” ” he said , “ ” he , “ ” ” he , “ ” he , “ ” ” he , “ ” ” he , “ ” he , “ ” ” he , “ ” ” he , “ ” he 
"some bread on the table , a mug of milk and a piece of cold meat . """""""" It is not much to offer you , but it is all I 've got , """""""" she said . """""""" I wish it were better , because you 're wanting good wholesome food just now . I 'll make some gruel for your friend and maybe there 'll be an egg to - morrow , or I can set snares for a ' possum . """""""" She took Davey from him and he turned to the table to eat . The man on the bed moaned wearily . She put Davey into his basket , lined with furry skins , and went to the sick man . The cloths that she had put over it to soak off the filthy rag which bound his head had served their purpose . She lifted them and the festering gash on his forehead was laid bare . Her exclamation , or a twinge of pain as the air touched the wound , sharpened his brain . His eyes opened . He stared with semi - conscious gaze a moment . Then with a hoarse oath he sprang at her . His quivering lean fingers gripped her throat and clung tenaciously . The man at the table flung himself upon him and wrenched his hands away ; they struggled for a moment , then the sick man dropped on to the bed again ; but he shouted incoherently , his fever - bright eyes baleful by the flickering firelight . """""""" After the gaols , ' n the sea , ' n the bush , to be taken now and like this , by God-- """""""" he panted . """""""" Let me be ! Let me be , do n't you see it 's a trap ! """""""" """""""" It 's all right , """""""" the other gasped . """""""" Do n't let your tongue run away with you , Steve . """""""" """""""" I 'll not be taken alive , """""""" the man on the bed cried . """""""" Not now , not after getting through so far , I 'll not be taken alive , ' n the one that tries to take me'll not live either . """""""" The tall man cursed beneath his breath . """""""" The woman means no harm to you , """""""" he said . """""""" It is the fever troubling him , """""""" Mary explained . The sick man was already weak again . He lay on the bed limply and muttering uneasily . """""""" You 'd best hold him so as I can put on the clean rags , """""""" she said . She had a length of old linen , smeared with ointment from a small earthenware jar , in her hands . She laid it over the wound and gently and firmly bound it into place . """""""" That 'll be better , """""""""	""""""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""""" """""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""""" """""""" """""""""" """""""" """""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""" """""""""" """""""" """""""""" """""""""" """""""""" """""""" """""""" """""""""" """""""""" """""""""" """""""""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""""
Rue de la Charbonnière , Fandor did not at first notice any of the “ boys”—or rather he made a pretence of knowing nobody . In the low - ceiled , smoky room , where seated in state , old Korn , his shirt sleeves rolled up to the elbows , his bald head shining in the gaslight , was rinsing out glasses stained with the lees of red wine in a basinful of greasy water , Fandor had recognized , with a surprise that bordered on stupefaction , a whole gang of people whom he knew very well . While Paulet was pushing him along towards a little table , where sat an extraordinary - looking individual , head like a broken - down tipstaff surmounted by a well - worn wig , nose decorated with an enormous pair of spectacles , frowsy mutton - chop whiskers framing the face , whom the apache greeted with a “ Good - day , Moche , old cock ! ” Fandor had been taking stock of the other customers . Later on , when Paulet , after ordering a litre of “ Red Seal , ” bread and cheese and Bologna sausage , was describing the late encounter to old Moche and his meeting with the “ new chum , ” Fandor seized the opportunity to scrutinize the group of persons gathered at the further end of the boozing - ken . So , the old gang was come together again ? again the same lot haunted Père Korn 's tavern ? Fandor was dumbfounded to meet once more at the _ Rendez - vous des Aminches _ the very same ill - omened crowd of apaches that had over and over again been mixed up in the crimes and wild adventures of Fantômas ; he could only just contrive to play up to his assumed character and pay decent attention to what Paulet was saying , who meantime was praising him up to the skies to M. Moche . “ Certain sure , ” Paulet was asseverating , “ _ you 'll _ pay for drinks , M. Moche ... yes , yes , your Honour , never say no ! ... But look'ee here , that chap yonder — I do n't so much as know his blessed name — well , there 'd be something to be made out of him , eh ? ... There 's no flies on that bloke , you bet . Why in two twos and a couple of shakes , crack ! he 'd downed his gentleman , let me tell you that , sir . Two constables , sir , and we chucked 'em both in the gutter . Cost me a bit of good rope , it did — but there , I do n't care . ” M. Moche , sipping an extraordinary mixture of brandy and absinthe , applauded Paulet 's narrative , and then turning to Fandor	_ Paulet _ Moche _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ Fandor _ , _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ , _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ , _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ , _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
, Tell ole Pharaoh , To let my people go . ” Husky , mournful , melodious voice . Tapping foot . Rolling eye . Silence . “ What kind of a coon song do you call that ? ” inquired the gray derby . “ Why , it 's a Negro melody — they sing them in the South . ” “ Sounds like a church hymn to me . ” He paused . His pale shrewd eyes searched her face . “ You a nigger ? ” The unaccustomed red surged into Magnolia 's cheeks , dyed her forehead , her throat , painfully . “ No , I 'm not a — nigger . ” “ Well , you cer'nly sing like one . Voice and — I do n't know — way you sing . Ai n't that right , Jo ? ” “ Cer'nly is , ” agreed Jo . The young man appeared a trifle embarrassed , which made him look all the younger . Years later , in New York , Kim was to know him as one of the most powerful theatrical producers of his day . And he was to say to Kim , “ Ravenal , h'm ? Why , say , I knew your mother when she was better - looking than you 'll ever be . And smart ! Say , she tried to sell me a coon song turn down in Jopper 's in the old days , long before your time . I thought they were hymns and would n't touch them . Seems they 're hot stuff now . Spirituals , they call them . You hear 'em in every show on Broadway . 'S fact ! Got to go to church to get away from 'em . Well , live and learn 's what I say . ” It was through this shrewd , tough , stage - wise boy that Magnolia had her chance . He did not understand or like her Negro folk songs then , but he did recognize the quality she possessed . And it was due to this precociousness in him that Magnolia , a little more than a year later , was singing American coon songs in the Masonic Roof bill , her name on the programme with those of Cissie Loftus and Marshall Wilder and the Four Cohans . But now she stood up , the scarlet receding from her face , leaving it paler than before . Silently she handed the husky singer his banjo ; tried to murmur a word of thanks ; choked . She put on her hat , adjusted her veil . “ Here , wait a minute , sister . No offense . I 've seen 'em lighter'n you . Your voice sounds like a — ain't that the truth , Jo ? ” Actually distressed , he appealed again to his unloquacious ally in the third row . “ Sure	. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — “ — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — —
master 's study , where he found the Englishman seated at his desk , writing . “ Up already ! ” exclaimed the visitor cheerfully , “ and ready for anything ! Upon my word , my dear fellow , Paris has quite changed your habits . How are you this morning ? ” Ascott turned half round in his chair , extending a careless hand to his visitor : “ Not so bad , and you , Tom Bob ? To what do I owe the pleasure of your visit ? Take a seat , pray ! ” “ Good ! ” thought the detective , “ he is not over and above angry with me ! ” At the same time , remembering that time was flying with alarming swiftness , he announced : “ I have merely come to shake you by the hand , as I was passing your way . ” But Ascott , who appeared to guess the object of his visit , began to hunt through his pocket - book , from which he presently extracted a bank note . Holding this out to the detective : “ Here is my subscription , ” he said : “ will you be so obliging as to hand this thousand francs to the Grand Duchess Alexandra when you have an opportunity of seeing her . ” Tom Bob expressed his willingness with an almost imperceptible smile . “ Just fancy , my dear sir , ” he remarked , “ how timorous Parisian society is ; to think that it is now a perfect mania , a fashionable craze , quite the correct thing in fact , to subscribe to this fund . They want to see Fantômas waxing fat ! ... ' pon my word ! it is excruciatingly funny . Henceforth , I take it the light - fingered gentry will have an easy time of it when they want to make their fortunes . Instead of fagging themselves to commit crimes , they will only have to make it known through the newspapers that they are short of cash for the moment , and the money will come tumbling in straight away ! Why , sir , ” continued the detective , “ it will be the ruin of the police ; I ask you , what are we to do , my colleagues and I , when there are no more any culprits to hunt down , any criminals to arrest ? ” Tom Bob had uttered his little speech in a tone of laughing irony well calculated to divert his host , but the latter declined to be amused . “ What do you think about it ? ” the detective insisted , “ what impression does all this Fantômas business make on you ? ” Ascott , rousing himself from a prolonged reverie , shrugged his shoulders . “ I do n't care a fig about it , ”	” , he remarked , “ , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ” , “ ” , “ ” , ” he , “ , ” he , “ , ” he , “ , ” he , “ , ” he , “ , ” he , “ , ” he , “ , ” he , ” he , “ , ” he , “ , ” he , “ ” ” he , “ ” he , “ ” he , ” he , “ ” he , ” he , “ , ” he , “ ” he , ” he , “ ” he , ” he , “ ” he , ” he , “ ” he , ” he , “ ” he , ” he , “ ” he , ” he , “ ” he , ” he , “ ” he , ” he , “ ” he , ” he , “ ” he , ” he , “ ” he , ” he , “ ” he , ” he , “ ” he , ” he , “ ” he , ” he , “ ” he , ” he , “ ” he , ” he , he , he , he , he , he , he , he , he 
jotted down the splendid figures . A gold mine , this Ravenal . A fine figger of a boy . Cheap at thirty . Rat - a - tat - tat . And fifty 's one thousand . And twenty - five 's one thousand twenty - five . And fifty's — and fifty's — twelve twenty - five — gosh a'mighty ! — — A shriek . A bouncing across the gangplank and into the cubby - hole just as Andy was rounding , happily , into thirteen hundred . A hand clutching his shoulder frantically , whirling him bodily out of the creaking swivel chair . Parthy , hat awry , bosom palpitating , eyes starting , mouth working . “ On Canal Street ! ” she wheezed . It was as though the shriek she had intended were choked in her throat by the very force of the feeling behind it , so that it emerged a strangled thing . “ Canal Street ! The two of them . . . with my own eyes . . . driving . . . in a . . . in a — — ” She sank into a chair . There seemed to be no pretense about this . Andy , for once , was alarmed . The tall shambling figure of Frank , the heavy , passed the little ticket window , blocked the low doorway . He stared , open - mouthed , at the almost recumbent Parthy . He was breathing heavily and looked aggrieved . “ She ran away from me , ” he said . “ Sees 'em in the crowd , driving , and tries to run after the carriage on Canal , with everybody thinking she 's gone loony . Then she runs down here to the landing , me after her . Woman her age . What d'yah take me for , anyway ! ” But Parthy did not hear him . He did not exist . Her face was ashen . “ He 's a murderer ! ” she now gasped . Andy 's patience , never too long - suffering , snapped under the strain of the afternoon 's happenings . “ What 's wrong with you , woman ! Have you gone clean crazy ! Who 's a murderer ! Frank ? Who 's he murdered ? For two cents I 'd murder the both of you , come howling in here when a man 's trying to run his business _ like _ a business and not like a yowling insane asylum — — ” Parthy stood up , shaking . Her voice was high and quavering . “ Listen to me , you fool . I talked to the man on the docks — the one he was talking to — and he would n't tell me anything and he said I could ask the chief of police if I wanted to know about anybody ,	. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
but rarely ; caught catfish ; drank river water out of the river itself ; roamed the streets of strange towns alone ; learned to strut and shuffle and buck - and - wing from the Negroes whose black faces dotted the boards of the Southern wharves as thickly as grace notes sprinkle a bar of lively music . And all this despite constant watchfulness , nagging , and admonition from her spinster - like mother ; for Parthy Ann Hawks , matron though she was , still was one of those women who , confined as favourite wife in the harem of a lascivious Turk , would have remained a spinster at heart and in manner . And though she lived on her husband 's show boat season after season , and tried to rule it from pilot house to cook 's galley , she was always an incongruous figure in the gay , careless vagabond life of this band of floating players . The very fact of her presence on the boat was a paradox . Life , for Parthy Ann Hawks , was meant to be made up of crisp white dimity curtains at kitchen windows ; of bi - weekly bread bakings ; of Sunday morning service and Wednesday night prayer meeting ; of small gossip rolled evilly under the tongue . The male biped , to her , was a two - footed animal who tracked up a clean kitchen floor just after it was scoured and smoked a pipe in defiance of decency . Yet here she was — and had been for ten years — leading an existence which would have made that of the Stratford strollers seem orderly and prim by comparison . She had been a Massachusetts school teacher , living with a henpecked fisherman father , and keeping house expertly for him with one hand while she taught school with the other . The villagers held her up as an example of all the feminine virtues , but the young males of the village were to be seen walking home from church with this or that plump twitterer who might be a notoriously bad cook but who had an undeniable way of tying a blue sash about a tempting waist . Parthenia Ann , prayer book clasped in mitted hands , walked sedately home with her father . The vivacious little Andy Hawks , drifting up into Massachusetts one summer , on a visit to fishermen kin , had encountered the father , and , through him , the daughter . He had eaten her light flaky biscuit , her golden - brown fries ; her ruddy jell ; her succulent pickles ; her juicy pies . He had stood in her kitchen doorway , shyly yet boldly watching her as she moved briskly from table to stove , from stove to pantry . The sleeves of her crisp print dress were rolled to the elbow , and if those	Parthenia Hawks , a spinster , a cook , a cook , a cook , a cook , a cook , a cook , a cook , a cook , a cook , a cook , a cook , a cook , a cook , a cook , a cook , a cook , a cook , a cook , a cook , a cook , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , a , , a , a , a , a , a , a , a , a , , a , , a , , a , , a , a , a , , , a , , a , , a , , a , , a , , a , , , a , , , a , , a , , a , , a , , a , a , , a , , a , , a , a ,
