orig	translated
. But her plans had gone well and briskly . All the women she had seen thought the school a good idea and were anxious to have it ; the men had promised to help in the building , and to pay the share that she had mentioned as likely to be asked of them for the Schoolmaster 's services . Davey had enjoyed the first part of the excursion as much as she had . He had romped and run wild with boys and girls on the homesteads they had been to . It was only when they were	. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
"fence near the bails for the milking . They were lowing quietly , the sunshine making a luminous mist behind them ; the birds were laughing and hooting among the trees . Deirdre rose to go and do the milking , but Steve burst open the door from the tap - room . A moment before there had been a clatter of hoofs on the shingle . Steve stood on the threshold , the muscles of his face twitching . """""""" It 's Pete M'Coll from the Wirree , """""""" he gasped . """""""" He says -- they've got Davey"	""""""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" , """""" """""" """""" , """""" """""" """""" """""" , """" """""" """""" """""" """""" , """""" """""" """""" """""" """""" """""" """""" """""" """""" """""" """""" """""" """""" """""" """""""""
". """""""" """""""" Like a what ? """""""" repeated the inventor with a grin . """""""" An innocent lamb , or a rat in a trap , """""""" Janoah said with solemn emphasis . """""""" What are you drivin ' at , anyhow ? """""""" questioned Willie . """""""" You did n't suspect nothin' ? """""""" """""""" Suspect anything ? No , of course not . Why ? """""""" """""""" You had n't a suspicion the whole thing was a decoy ? """""""" """""""" What whole thing ? """""""" """""""" The trip an ' all . """""""" Willie studied his"	""""""""" , """""""" said Janoah , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" """""""" , """""""" """""""" """""""" """""""""" """""""""" """""""""" """""""""" """""""""" """""""" """""""""""" """""""""" """""""""" """""""""" """""""""" """""""""""" """""""""""""
". In the first light of the dawn Deirdre exclaimed when she saw it . """""""" Father , """""""" she cried , """""""" you 're hurt . """""""" """""""" I 'm all right , """""""" he said irritably . She went over to him and lifted the handkerchief . His face was curiously wrung with pain and blanched beneath the tan and smoke - grime . A clammy sweat beaded on his forehead . """""""" Hold your tongue , Deirdre , """""""" he muttered . """""""" It 's only a bit of a burn . """""""" Mrs. Cameron was gazing"	", """""""" sagte er irritably . """""""" Deirdre , """""""" sagte er . """""""" Hold your handkerchief over your face , """""""" he cried . """""""" Deirdre , """""""" said he , """""""" I 'm a clammy , irritably tan . """""""" Deirdre , """""" """""" , """""" he , """""" he , """""" he said , """""" he , """""""
of crates swayed up , poised , swung and jolted down among cries and clanking . There was a run of sea in the harbour which had not been there that afternoon ; launches squatting on to it under way split it white . A sort of swell seemed to be coming into the harbour from the north . His thoughts were of Sard : but he could not help noticing the swell . “ It is all rubbish , ” he said . “ Someone at the Club has sent that fellow here for a rag . These things	. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
""""""""" Cavernicolous Aphrodites ! """""""" said Milton Rhodes . """""""" And all down there in eternal darkness ! """""""" I exclaimed . """""""" Why , the thing is incredible . No wonder that I sometimes find myself wondering if I am not in a dream . """""""" Said Milton Rhodes : """""""" ' _ All _ that we see or seem Is but a dream within a dream . ' """""""" But come , Bill , """""""" he added . """""""" Do n't let this _ a priori _ stuff bowl you over . In the first place , it"	""""""""" """""""" , """""""" sagte er , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""""" , """""" """""""" , """""""" , """""""" """""""" """""""" """""""" """""" """""""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""""" """""""""""
Gordon , who was the son of a well - to - do business man , and had been to college , until he was expelled for taking the doctrines of Christianity too literally and expounding them too persistently on the college campus . There was a big , brawny lumber - jack from the North , Jim Henderson by name , who had been driven out of the camps for the same reason , and had appalling stories to tell of the cruelties and hardships of the life of a logger . There was a Swedish sailor by the	. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
"hers . The black shield covered one of them ; the other was shining with his tenderness for her , the strength of the tide behind it . """""""" It was a sorrowful name to give you , darling , you that have been the sunshine , and have banished the sorrows of my life , """""""" he cried . """""""" May they never come any more or grief touch us again ! """""""" CHAPTER XXIII Strange tales were being told of Cameron 's son in Wirreeford . Donald Cameron had been laid up , crippled with rheumatism since the"	""""""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""" """""""""" , """""" , """""" , """""" , """""" , """""" """""" , """""" """""" , """""" """""" """""" """""" """""" """""" """""" """""" """""" """""" """""" """""""" """""""" """""" """""""" """""""" """""""" """""""" """""""""" """""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
a lake which formed almost a complete glimmering circle , with trees coming down to the water 's edge . The road followed the shore of the lake for a few hundred yards , then took an abrupt bend , to again come back to the water . And then , as we came around the bend , I saw three small buildings ahead of us — buildings placed in a cleared spot of ground , and with a little wharf in front which ran into the lake . And it was here we stopped . The buildings were the	. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
by this reminder of a terrible past , merely nodded her head affirmatively , while great tears filled her eyes . M. Moche expressed his sympathy : “ I am truly sorry , mademoiselle , ” he said , “ to have recalled such mournful memories to your mind ; but as landlord of the house where you wish to take rooms , I was bound to know your name ; but I assure you that from henceforth ... ” He broke off , but presently resumed : “ You spoke just now of a small alteration in the flat	” , sagte er , “ I have a small mind to assure you that I know just what you have said , ” but he shook his head affirmatively : “ I have a great mind to assure you that I know just what you have said , ” he said , “ I have a great mind to assure you that I have a great mind to assure you that I have a great mind to assure you that I have a great mind to assure you .
