orig	translated
"it here together . """""""" """""""" Jolly comfortable quarters , """""""" I remarked , glancing round . """""""" I called here before , but you were out . """""""" """""""" Yes , so sorry ! """""""" he exclaimed . """""""" Sit down and have a cigar , """""""" and he handed me a box of most excellent weeds . """""""" Well , """""""" exclaimed the smart young fellow who was the confidential secretary of Sir Albert Oppenheim , """""""" I 'm really glad to see you again , Mr. Holford . That was a most mysterious incident at Sussex Place the other evening , """""""" he added . """""""" I 'm still convinced that somebody was in the house . The Professor 's furnace was alight , you recollect , and the laboratory door stood open . """""""" """""""" Langton has told me all about it , """""""" remarked the doctor in a deep voice ; """""""" very curious , it seems . """""""" """""""" Most extraordinary , """""""" I declared , """""""" and the more so that Merli , the butler , should have suddenly disappeared . The other day I met him in Rome . """""""" """""""" Met Antonio ! """""""" gasped Ethelwynn 's lover , staring at me in amazement . """""""" Have you been to Italy ? """""""" """""""" Yes . I told him of our search , but he declared himself ignorant of everything , though he admitted having seen you passing through the buffet at Calais - Maritime . """""""" """""""" What is he doing in Rome ? """""""" """""""" I have no idea ; I was there in a vain endeavour to recover my lost wife . She has been misled by a forged telegram purporting to come from myself , and is somewhere on the Continent . Where , however , I can not tell . """""""" """""""" You 've lost your wife , eh ? """""""" asked the doctor , glancing strangely across at his companion , I thought . His face was dark and aquiline , his shoulders sloped . He was not a man to be trusted . """""""" You think she 's been tricked ? """""""" he added . """""""" Why ? """""""" """""""" Ah , at present I can form no theory as to the motive . If I could I might perchance discover the person responsible for her disappearance , """""""" and I briefly told him of my frantic journey to the Italian capital . """""""" And now I am going to Strassburg tomorrow , """""""" I added . """""""" Why to Strassburg ? """""""" inquired Doctor Flynn , regarding me fixedly with those keen eyes of his . """""""" Because Professor Greer is there , and I have an idea that he can tell me something . """""""" """""""" The Professor is no longer there , """""""" was Langton 's quick interruption . """""""" Half an hour ago I spoke to Ethelwynn on the telephone"	""""""""" """""""" Why , """""""" he added , """""""" I 'm sorry . """""""" """""""" I 'm sorry , """""""" he added . """""""" I 'm sorry , """""""" he added . """""""" I 'm sorry , """""""" he added . """""""" I 'm sorry , """""""" he added . """""""" """""""" I 'm sorry , """""""" he declared . """""""" I 'm sorry , """""""" he added . """""""" I 'm sorry , """""""" he declared . """""""" I 'm sorry , """""""" he added . """""""" I 'm sorry , """""""" he added . """""""" I 'm sorry , """""""" he added . """""""" I 'm sorry , """""""" he declared . """""""" I 'm sorry , """""""" he added , glancing at me . """""""" You 've been tricked , """""""" he added . """""""" You 've been tricked , """""""" he declared . """""""" I 've been tricked , """""""" he added . """""""" I 've been tricked , """""""" he added . """""""" """""""" I 've been tricked , """""""" he declared . """""""" I 've been tricked , """""""" he added . """""""" I 've been tricked , """""""" he added . """""""" I 've been tricked , """""""" he declared . """""""" I 've been tricked , """""""" he added . """""""" I 've been tricked ,"
""""""""" he reasoned logically . """""""" I 've got to do everything I can to make sure I get my trip back when my eighteen weeks are up . If I got caught off bounds that would ruin everything -- I'd really be in a mess . """""""" Also , even if he could get to the shipyards , the moment he was spotted trying to get inside any of those ships he would undoubtedly be killed by guards who would certainly shoot first and ask questions later -- if any . Nor were there any longer any native birds or animals left on Algon he could use -- he had learned that the men had killed them off soon after they arrived . """""""" No , I 'll just have to keep on trying , and get what dope I can without exposing myself . With a month and a half I should be able to get a lot more , and with what I already know , the Corps top brass will take steps , but fast ! """""""" Suddenly a new idea sprang into his mind . Where was """""""" here ? """""""" In his excitement and planning he had entirely forgotten to finish figuring out that point . That evening after dinner he stayed outside , ostensibly walking about aimlessly , in reality looking at and studying the stars when he was sure no one was watching him . He could n't spot any of the more familiar constellations such as the Big Dipper , Bear , or the Southern Cross . He knew he was far to one side of the galaxy from Terra -- that while from there one could see the """""""" front """""""" of those configurations , now he would be getting a """""""" sidewise """""""" view . But he could identify quite a few of the bigger suns and distant nebulae . He picked out several blue - white and red giants he was sure he knew . That was Andromeda off there ; that one was undoubtedly Orion -- no other contained so many 4.0 to 5.2 stars , beside the gigantic Rigel , Betelgeuse and Bellatrix . Good , he could fix all that in his mind well enough to draw it when he got back , and the Corps planetographers certainly would pin - point this system from those directions . Distance -- let 's see ? He strained to remember the time it had taken that freighter to come here , and estimated that , with its slower speed , this world was somewhere between ten and fifteen lights . He would time it more carefully , going back , and estimate the ship 's speed as closely as possible . Young George Hanlon was maturing swiftly under the stress of the tremendous task he was attempting . He was learning that he must think and plan well ahead of time . He realized he could not"	". """""""" """""""" I can n't remember , """""""" he reasoned . """""""" I can n't remember , """""""" he said . """""""" I can n't remember , """""""" he said . """""""" I can n't remember , """""""" he said . """""""" I can n't remember , """""""" he said . """""""" I can n't remember , """""""" he said . """""""" I can n't remember , """""""" he said . """""""" I can n't remember , """""""" he said . """""""" I can n't remember , """""""" he said . """""""" I can n't remember , """""""" he said . """""""" I can n't remember , """""""" he said . """""""" I can n't remember , """""""" he said . """""""" I can n't remember , """""""" he said . """""""" I can n't remember , """""""" he said . """""""" I can n't remember , """""""" he said . """""""" I can n't remember , """""""" he said . """""""" I can n't remember , """""""" he said . """""""" I can n't remember , """""""" he said . """""""" I can n't remember , """""""" he said . """""""" I can n't remember , """""""" he said . """""""" I can n't remember , """""""" he said . """""""" I 've got a lot to do , """""""" he said . """""""" I 've got a lot to do ,"
once . “ I wonder , ” she asked timidly , a few minutes afterwards , “ have you heard anything from Arthur ? He promised to send a telegram from Queenstown . ” Laverick shook his head . He said nothing about the marconigram he had sent , or the answer which he had received informing him that there was no such person on board . It seemed scarcely worth while to worry her . “ I have heard nothing , ” he replied . “ Of course , he must be half - way to America by now . ” “ There have been no more inquiries about him ? ” she asked . “ No more than the usual ones from his friends , and a few creditors . The latter I am paying as they come . But there is one thing you ought to do with me . I think we ought to go to his rooms and lock up his papers and letters . He never even went back , you know , after that night . ” She nodded thoughtfully . “ When would you like to do this ? ” “ I am so busy just now that I am afraid I can spare no time until Monday afternoon . Would you go with me then ? ” “ Of course ... My time is my own . We have no matinee , and I have nothing to do except in the evening . ” They had reached her home . It looked very dark and very uninviting . She shivered as she took her latchkey from the bag which she was carrying . “ Come in with me , please , while I light the gas , ” she begged . “ It looks so dreary , does n't it ? ” “ You ought to have some one with you , ” he declared , “ especially in a part like this . ” “ Oh , I am not really afraid , ” she answered . “ I am only lonely . ” He stood in the passage while she felt for a box of matches and lit the gas jet . In the parlor there was a bowl of milk standing waiting for her , and some bread . “ Thank you so much , ” she said . “ Now I am going to make up the fire and read for a short time . I hope that you will enjoy your supper — well , moderately , ” she added , with a little laugh . “ I can promise you , ” he answered , “ that I shall enjoy it no more than last night 's or to - morrow night 's . ” She sighed . “ Poor little me ! ” she exclaimed . “ It is not fair to have to compete with Mademoiselle Idiale . Good night ! ” Something	. ” “ Oh , ” he answered , “ I am afraid , ” she sighed . “ I am afraid , ” she answered . “ I am afraid , ” she answered . “ I am afraid , ” she answered . “ I am afraid , ” she answered . “ I am afraid , ” she answered . “ I am afraid , ” she answered . “ I am afraid , I am afraid , ” she answered . “ Oh , ” she said , “ I am afraid , ” she answered . “ I am afraid , ” she said . “ I am afraid , ” she answered . “ I am afraid , ” she said . “ I am afraid , ” she answered . “ I am afraid , ” she said . “ I am afraid , ” she answered . “ I am afraid , ” she said . “ I am afraid , ” she answered . “ I am afraid , ” she answered . “ I am afraid , ” she said . “ I am afraid , ” she answered . “ I am afraid , ” she said . “ I am afraid , ” she answered . “ I am afraid , ” she said . “ I am afraid , ” she answered . “ I am afraid , ” she answered . “ I am afraid , ” she said . “ I am afraid , ” she answered . “ I am afraid , ” she answered . “ I am afraid , ” she said . “ I am afraid , ” she answered . “ I am afraid , ” she said . “ I am afraid , ” she answered . “ I am afraid , ” she said . “ I am afraid , ” she answered . “ I am afraid , ” he said . “ I am afraid , ” she added . “ I am afraid , ” she answered . “ I am afraid , ” she said . “ I am afraid
"now , having heard of such a drink . I 'll have to look it up in the recipe - book -- I disremember the ingredients . """""""" Hanlon grinned and lost his appearance of truculence . """""""" It 's partly made of Blue Grass , like a ' horse 's neck . ' But if it 's too much trouble , just give me a Cola . """""""" The barkeep grinned , too . """""""" I gotcha , Steve , """""""" and poured out the soft drink . Hanlon sat sipping his innocuous drink , looking about him quietly . A large - sized crowd was beginning to fill the place -- well - dressed , evidently fairly prosperous people , but he could see that they were not the real upper - class , but the slightly - off - shade climbers . His drink finished Hanlon signalled his friendly barman . """""""" The grub here any good ? This looks like a nice place . """""""" """""""" Yes , it is . One often hears some interesting things here . As for the food , it is very good , and not too expensive . They have a native fowl much like chicken I think you 'd like . Ask for _ poyka _ , in whatever style you like it fixed . Glad to be of service , sir , any time , in any way . """""""" The last words were slightly emphasized . Hanlon had ordered and was waiting for his food when a man he had never seen before slipped into the seat opposite him . """""""" The Boss wants to see you . """""""" """""""" Yeah ? """""""" Hanlon looked him up and down almost contemptuously . """""""" Just who is this ' boss ' who 's interested in me ? """""""" """""""" Cut the clowning . You know who . At the Bacchus . Now ! """""""" """""""" So . """""""" Hanlon let himself appear slightly interested . """""""" Well , after I get through eating , if nothing else shows up to interest me more , I might drop over . """""""" """""""" You 'd better , and mighty quick , too ! """""""" the man snapped , although it was apparent he was puzzled by Hanlon 's manner . """""""" He do n't like to be kept waiting . """""""" """""""" And I do n't like to be hurried -- or ordered about ! """""""" Hanlon snapped back . """""""" If I come , and notice I said ' if , ' I 'll be there in about an hour . Now , do you mind ? I like to enjoy my food . """""""" The man rose , still with that perplexed expression . It was evident he was not used to people not jumping when his """""""" Boss """""""" issued invitations -- which were really commands . He shook his head slowly . """""""" I hope for"	". """""""" """""""" It 's a good drink , """""""" said Hanlon . """""""" It 's a good drink , """""""" said Hanlon . """""""" It 's a good drink , """""""" said Hanlon . """""""" It 's a good drink , """""""" said Hanlon . """""""" It 's a good drink , """""""" said Hanlon . """""""" It 's a good drink , """""""" said Hanlon . """""""" It 's a good drink , """""""" said Hanlon . """""""" It 's a good drink , """""""" said Hanlon . """""""" It 's a good drink , """""""" said Hanlon . """""""" It 's a good drink , """""""" said Hanlon . """""""" It 's a good drink , """""""" said Hanlon . """""""" It 's a good drink , """""""" said Hanlon . """""""" It 's a good drink , """""""" said Hanlon . """""""" It 's a good drink , """""""" said Hanlon . """""""" It 's a good drink , """""""" said Hanlon . """""""" It 's a good drink , """""""" said Hanlon . """""""" It 's a good drink , """""""" said Hanlon . """""""" It 's a good drink , """""""" said Hanlon . """""""" It 's a good drink , """""""" said Hanlon . """""""" It 's a good drink , """""""" said Hanlon . """""""" It 's a good drink , """""""" said Hanlon . """
rush hurled itself far over the molten lake ; we saw it turn head over heels and then vanish . It was the work of a moment , and my guide clutched me and drew me on with a whisper hoarsened by alarm : “ Flee for your life . ” I rushed after him as he made for the lip of the crater towards the eye of the wind , for I heard a low thunder beneath our feet , and a louder rumbling behind us . Wearied though I had been by my night 's climb I felt my limbs light as thistledown . The wind was rising against us , yet we seemed to leap from fragment to fragment , from rock to rock heedless of its force . The thunder grew behind us , and seemed to quicken the pace of my guide . We reached the rim in safety and crouched in the snow underneath it . And looking up we saw the whole heavens lit , and away in the direction of the ruined city a fire outlined on sepulchral black . It was the passion of the mountain finding new vent . We crept down over the snow , sometimes sliding hundreds of feet in a moment over its smooth and glistering surfaces , till we reached the vegetation . The morning had begun to break , so my guide quickened his pace and hid in the densest of the thicket . Once safely covered , he seemed to get the command of his terror . He lay for a time panting and unable to speak . But , when his throat had recovered enough from its parched state to be the channel of sound , he whispered : “ We must get out of this ; they know that we are on the crater , and they will pursue us as soon as the eruption is over ; they will track us in the snow with ease . We must double back through the forest and then downwards to the shore . We must defeat their scent . ” He fell again panting to the ground , his face pallid and drawn . It must have been exceptional consternation that had so dread an effect . I let him recover again , and then asked him what it all meant . In a low , hoarse tone he whispered : “ It was the slave 's vengeance . They know that if they plunge a body of some mass into a certain boiling caldron of liquid lava , the mountain will regurgitate it . This wretch knew in any case that he would die in taking revenge for the lash , and he felt perhaps that a plunge into the boiling fire would be the quickest and the fullest vengeance . His pursuer would perish before he turned and reached the rim of the crater . The rest who were nearer it	. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
am not afraid of . I do not think that you will make love to me . ” “ Any intentions I may have had , ” Laverick remarked , with a sigh , “ I forthwith banish . You ask a hard task of your cavaliers , though , Mademoiselle . ” She smiled and looked at him from under her eyelids . “ Not of you , I fancy , Mr. Laverick , ” she said . “ I do not think that you are one of those who make love to every woman because she is good - looking or famous . ” “ To tell you the truth , ” Laverick admitted , “ I find it hard to make love to any one . I often feel the most profound admiration for individual members of your sex , but to express one 's self is difficult — sometimes it is even embarrassing . For supper ? ” “ It is ordered , ” she declared . “ You are my guest . ” “ Impossible ! ” Laverick asserted firmly . “ I have been your guest at the Opera . You at least owe me the honor of being mine for supper . ” She frowned a little . She was obviously unused to being contradicted . “ I sup with you , then , another night , ” she insisted . “ No , ” she continued , “ If you are going to look like that , I take it back . I sup with you to - night . This is an ill omen for our future acquaintance . I have given in to you already — I , who give in to no man . Give me some champagne , please . ” Laverick took the bottle from the ice - pail by his side , but the sommelier darted forward and served them . “ I drink to our better understanding of one another , Mr. Laverick , ” she said , raising her glass , “ and , if you would like a double toast , I drink also to the early gratification of the curiosity which is consuming you . ” “ The curiosity ? ” “ Yes ! You are wondering all the time why it is that I chose last night to send and have you presented to me , why I came to your office in the city to - day with the excuse of investing money with you , why I invited you to the Opera to - night , why I commanded you to supper here and am supping with you alone . Now confess the truth ; you are full of curiosity , is it not so ? ” “ Frankly , I am . ” She smiled good - humoredly . “ I knew it quite well . You are not conceited . You do not believe , as so	. ” “ No , ” Laverick remarked , “ I am not going to make a toast to you . ” “ I am going to make a toast to you . ” “ I am going to make a toast to you . ” “ I am going to make a toast to you . ” “ I am going to make a toast to you . ” “ I am going to make a toast to you . ” “ I am going to make a toast to you . ” “ I am going to make a toast to you . ” “ I am going to make a toast to you , ” she said . “ I am going to make a toast to you . ” “ I am going to make a toast to you . ” “ I am going to make a toast to you , ” she said . “ I am going to make a toast to you . ” “ I am going to make a toast to you . ” “ I am going to make a toast to you . ” “ I am going to make a toast to you , ” Laverick remarked . “ I am going to make a toast to you . ” “ I am going to make a toast to you , ” she insisted . “ I am going to make a toast to you . ” “ I am going to make a toast to you . ” “ I am going to make a toast to you , ” she said . “ I am going to make a toast to you . ” “ I am going to make a toast to you , ” Laverick remarked . “ I am going to make a toast to you . ” “ I am going to make a toast to you , ” she insisted . “ I am going to make a toast to you . ” “ I am going to make a toast to you , ” she said . “ I am going to make a toast to you . ” “ Impossible . ” “ Impossible . ” “ Impossible , ” Laverick
"asking my hand you seek to divide my gold , thus securing both fame and gold . Alfonso we have enjoyed each other 's company as friends . """""""" """""""" Yes , Christine , though you have been cruel we can separate as friends . Sometime I may be able to match gold with gold . Till then , adieu . """""""" Saying this Alfonso left the De Ruyter mansion all the more resolved , however , to win Christine . For a moment her deceptive heart rebuked her as she watched Alfonso 's departure . In the papers of the following evening an announcement frightened Christine . The head lines read : """""""" Mr. Alfonso Harris , a young American artist , drowned this morning in the harbor . """""""" Later the police brought to the De Ruyter home detailed news . Christine gave instructions to use every possible effort to recover Alfonso 's body , and at once sent her servant with a telegram for Colonel Reuben Harris , Grand Hotel , Paris , the only address she knew . The next day , with her mother , she accompanied the police to Alfonso 's room , where she gathered up several of her love letters . A new suit of clothes hung in the closet , a package of returned laundry lay on the table , also pen , ink and paper . Evidently Alfonso expected to return soon to the hotel . His clothes , watch , and money had been found in the boat that drifted ashore . Christine concluded that Alfonso had gone for a boat - ride and swim , as was his custom ; very likely this time to free his mind , if possible , from recent trouble , and was seized with cramp and drowned before aid could reach him . Vigorous search in the harbor and along the shore instituted by the police department and the American consul failed to locate his body or to furnish further facts to Christine as to the cause of the accident . * * * * * Alfonso Harris meant all he said to Christine in his last words , """""""" Sometime I may be able to match gold with gold . """""""" He might be blind in love matters , but his mind after a storm always righted itself . That night when Alfonso reached his hotel , he planned to leave the impression on Christine 's mind that he was dead . To make the deception complete , his trunk and all effects in his room were left as found by Christine . Even his watch , pocket book and clothes were left behind in the little pleasure boat , while he donned an extra suit . A Norwegian captain , who was about leaving Amsterdam with a cargo for Canada , agreed for fifty dollars to pick up Alfonso down the harbor and to land him in Quebec . Fine"	". """""""" """""""" Christine , """""""" said Alfonso . """""""" Christine , """""""" said Alfonso . """""""" Christine , """""""" said Alfonso . """""""" Christine , """""""" said Alfonso . """""""" Christine , """""""" said Alfonso . """""""" Christine , """""""" said Alfonso , """""""" """""""" Yes , """""""" said Alfonso . """""""" Adieu , """""""" said Alfonso . """""""" Christine , """""""" said Alfonso . """""""" Christine , """""""""" was frightened . """""""" """""""" Christine , """""""""" said Alfonso , """""""" that you were frightened . """""""" """""""" Christine , """""""" said Alfonso , """""""" that you were able to find her . """""""" """""""" Christine , """""""" said Alfonso , """""""" that you were able to find her . """""""" """""""" Christine , """""""" said Alfonso , """""""" that you were able to find her , """""""" said Alfonso . """""""" Christine , """""""" said Alfonso , """""""" that you were able to find her . """""""" """""""" Christine , """""""" said Alfonso , """""""" that you were able to find her . """""""" """""""" Christine , """""""" said Alfonso , """""""" that you were able to find her . """""""" """""""" Christine , """""""" said Alfonso . """""""" Christine , """""""" said he , """""""
"tried it , setting my teeth . """""""" Here goes ! """""""" """""""" It came open quite easily . And lo ! the place it opened into was hardly any bigger than a cupboard . Anyhow it was n't more than ten feet by twelve ; and as I in a way expected to see the big shadowy cellar - like extent of the Shipping Office where I had been once or twice before , I was extremely startled . A gas bracket hung from the middle of the ceiling over a dark , shabby writing - desk covered with a litter of yellowish dusty documents . Under the flame of the single burner which made the place ablaze with light , a plump , little man was writing hard , his nose very near the desk . His head was perfectly bald and about the same drab tint as the papers . He appeared pretty dusty too . """""""" I did n't notice whether there were any cobwebs on him , but I should n't wonder if there were because he looked as though he had been imprisoned for years in that little hole . The way he dropped his pen and sat blinking my way upset me very much . And his dungeon was hot and musty ; it smelt of gas and mushrooms , and seemed to be somewhere 120 feet below the ground . Solid , heavy stacks of paper filled all the corners half - way up to the ceiling . And when the thought flashed upon me that these were the premises of the Marine Board and that this fellow must be connected in some way with ships and sailors and the sea , my astonishment took my breath away . One could n't imagine why the Marine Board should keep that bald , fat creature slaving down there . For some reason or other I felt sorry and ashamed to have found him out in his wretched captivity . I asked gently and sorrowfully : """""""" The Shipping Office , please . """""""" He piped up in a contemptuous squeaky voice which made me start : """""""" Not here . Try the passage on the other side . Street side . This is the Dock side . You 've lost your way . . . """""""" He spoke in such a spiteful tone that I thought he was going to round off with the words : """""""" You fool """""""" . . . and perhaps he meant to . But what he finished sharply with was : """""""" Shut the door quietly after you . """""""" And I did shut it quietly -- you bet . Quick and quiet . The indomitable spirit of that chap impressed me . I wonder sometimes whether he has succeeded in writing himself into liberty and a pension at last , or had to go out of his gas - lighted grave straight into that other dark"	". """""""" """""""" Shut the door , """""""" he piped . """""""" Shut the door , """""""" he said . """""""" You must n't be a fool . """""""" """""""" You must n't be a fool , """""""" he said . """""""" You must n't be a fool , """""""" he said . """""""" You must n't be a fool , """""""" he said . """""""" You must n't be a fool . """""""" """""""" You must n't be a fool , """""""" he said . """""""" You must n't be a fool . """""""" """""""" You must n't be a fool , """""""" he said . """""""" You must n't be a fool . """""""" """""""" You must n't be a fool , """""""" he said . """""""" You must n't be a fool , """""""" he said . """""""" You must n't be a fool , """""""" he said . """""""" You must n't be a fool , """""""" he said . """""""" You must n't be a fool , """""""" he said . """""""" You must n't be a fool , """""""" he said . """""""" You must n't be a fool , """""""" he said . """""""" You must n't be a fool , """""""" he said . """""""" You must n't be a fool , """""""" he said . """""""" You must n't be a fool , """""""" he said . """""""" You must n't be"
to its weight , and to the fact that on Jupiter bodies fall 40.98 feet the first second , instead of sixteen feet , as on earth , and at correspondingly increasing speed . Finding that they were being rapidly dazed and stunned by the noise , the travellers caused the Callisto to rise rapidly , and were soon surveying the superb sight from a considerable elevation . Their minds could grasp but slowly the full meaning and titanic power of what they saw , and not even the vast falls in their nearness could make their significance clear . Here was a sheet of water three and a half miles wide , averaging forty feet in depth , moving at a rapid rate towards a sheer fall of six hundred feet . They felt , as they gazed at it , that the power of that waterfall would turn backward every engine and dynamo on the earth , and it seemed as if it might almost put out the fires of the sun . Yet it was but an illustration of the action of the solar orb exerted on a vast area of ocean , the vapour in the form of rain being afterwards turned into these comparatively narrow limits by the topography of the continent . Compared with this , Niagara , with its descent of less than two hundred feet , and its relatively small flow of water , would be but a rivulet , or at best a rapid stream . Reluctantly leaving the fascinating spectacle , they pursued their exploration along the river above the falls . For the first few miles the surface of the water was near that of the land ; there were occasional rapids , but few rocks , and the foaming torrent moved at great speed , the red sandstone banks of the river being as polished as though they had been waxed . After a while the obstructions disappeared , but the water continued to rush and surge along at a speed of ten or twelve miles an hour , so that it would be easily navigable only for logs or objects moving in one direction . The surface of the river was soon on an average fifty feet below the edge of the banks , this depression being one result of the water 's rapid motion and weight , which facilitated the carving of its channel . When they had followed up the river about sixty miles towards its source they came upon what at first had the appearance of an ocean . They knew , however , from its elevation , and the flood coming from it , that the water must be fresh , as they soon found it was . This lake was about three hundred miles wide , and stretched from northeast to southwest . There was rolling land with hills about its shores , and the foliage on the banks was a beautiful	. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
"point , """""""" Tommy said , boyishly , to Grizel , """""""" I ceased to hear them , I was so elated ; I felt that everything was coming right . I could not give another thought to their future , I was so busy mapping out my own . I heard a hammering . Do you know what it was ? It was our house going up -- your house and mine ; our home , Grizel ! It was not here , nor in London . It was near the Thames . I wanted it to be upon the bank , but you said No , you were afraid of floods . I wanted to superintend the building , but you conducted me contemptuously to my desk . You intimated that I did not know how to build -- that no one knew except yourself . You instructed the architect , and bullied the workmen , and cried for more store - closets . Grizel , I saw the house go up ; I saw you the adoration and terror of your servants ; I heard you singing from room to room . """""""" He was touched by this ; all beautiful thoughts touched him . But as a rule , though Tommy tried to be brave for her sake , it was usually she who was the comforter now , and he the comforted , and this was the arrangement that suited Grizel best . Her one thought need no longer be that she loved him too much , but how much he loved her . It was not her self - respect that must be humoured back , but his . If hers lagged , what did it matter ? What are her own troubles to a woman when there is something to do for the man she loves ? """""""" You are too anxious about the future , """""""" she said to him , if he had grown gloomy again . """""""" Can we not be happy in the present , and leave the future to take care of itself ? """""""" How strange to know that it was Grizel who said this to Tommy , and not Tommy who said it to Grizel ! She delighted in playing the mother to him . """""""" Now you must go back to your desk , """""""" she would say masterfully . """""""" You have three hours ' work to do to - night yet . """""""" """""""" It can wait . Let me stay a little longer with you , Grizel , """""""" he answered humbly . Ha ! it was Tommy who was humble now . Not so long ago he would not have allowed his work to wait for anyone , and Grizel knew it , and exulted . """""""" To work , sir , """""""" she ordered . """""""" And you must put on your old coat before you sit down to write"	"Grizel , """""""" he said contemptuously , """""""" you must go , """""""" he said . """""""" You must go , """""""" he said . """""""" You must go , """""""" he said . """""""" You must go , """""""" he said . """""""" You must go , Grizel , """""""" he said . """""""" You must go , """""""" Grizel exulted . """""""" You must go , """""""" he said . """""""" You must go , """""""" he said . """""""" You must go , """""""" he said . """""""" You must go , """""""" he said . """""""" You must go , sir , """""""" he said . """""""" You must go , sir , """""""" he said . """""""" You must go , Grizel , """""""" he said . """""""" You must go , Grizel , """""""" he said . """""""" You must go , Grizel , """""""" he said . """""""" You must go , Grizel , """""""" he said . """""""" You must go , Grizel , """""""" he said . """""""" You must go , Grizel , """""""" he said . """""""" You must go , Grizel , """""""" he said . """""""" You must go , Grizel , """""""" he said . """""""" You must go , sir , """""""" he said contemptuously . """""""" You must go , sir , """""""" he said . """""""" You must go , sir , """""""" he said . """""""" You must go"
